label,map_acc_test,map_nll_test,bayes_loss_test,gibbs_loss_test,bayes_loss_train,gibbs_loss_train,bma_acc_test,bma_acc_train,kl
ConvNN-2k,0.2866,1.948325799560547,1.9141240119934082,1.916178822517395,1.9065357446670532,1.9084186553955078,0.2978,0.3026,8352.1650390625
ConvNN-5k,0.4446,1.5146736267089844,1.508274793624878,1.5160175561904907,1.4725688695907593,1.4799870252609253,0.4502,0.4706,18809.732421875
ConvNN-9k,0.5352,1.3084014984130858,1.301207184791565,1.31155264377594,1.2166835069656372,1.2260154485702515,0.539,0.5676,32778.1328125
ConvNN-15k,0.577,1.198258917236328,1.187616229057312,1.2009532451629639,1.0325698852539062,1.0442919731140137,0.581,0.6368,51735.66015625
ConvNN-21k,0.5814,1.2140016326904297,1.1992638111114502,1.2140982151031494,1.0039420127868652,1.0164159536361694,0.584,0.6462,67556.328125
ConvNN-30k,0.6168,1.1292919189453126,1.1074501276016235,1.1283280849456787,0.8308336734771729,0.8461681604385376,0.6204,0.7092,92603.0
ConvNN-37k,0.607,1.183478305053711,1.1516367197036743,1.176881194114685,0.8057511448860168,0.8227277398109436,0.6092,0.7236,113584.6328125
ConvNN-48k,0.6294,1.1098755462646483,1.0793344974517822,1.1078611612319946,0.6922510266304016,0.7090908288955688,0.631,0.7646,146183.640625
ConvNN-62k,0.6374,1.176788134765625,1.1200648546218872,1.165231466293335,0.550169050693512,0.5710412263870239,0.6416,0.8128,183202.046875
ConvNN-72k,0.6516,1.2276136779785156,1.1514571905136108,1.2073678970336914,0.4862144887447357,0.5080575942993164,0.6542,0.8462,212408.734375
ConvNN-87k,0.629,1.2968357482910156,1.2078434228897095,1.2798949480056763,0.4532495439052582,0.47834789752960205,0.6278,0.8568,255121.375
ConvNN-100k,0.6312,1.407735626220703,1.285123586654663,1.3749217987060547,0.4161141514778137,0.44333943724632263,0.6334,0.8818,289856.5625
ConvNN-118k,0.6496,1.428948016357422,1.2703710794448853,1.395362138748169,0.2856203019618988,0.3119448125362396,0.6556,0.9266,340909.09375
ConvNN-138k,0.64,1.6183020263671875,1.3973854780197144,1.5544074773788452,0.23395580053329468,0.2598258852958679,0.6466,0.95,395354.65625
ConvNN-153k,0.652,1.5798200500488282,1.356404423713684,1.5300443172454834,0.21679401397705078,0.24194645881652832,0.656,0.9494,437664.6875
ConvNN-175k,0.6504,1.7025441131591796,1.4421660900115967,1.6398509740829468,0.18063992261886597,0.20406724512577057,0.6568,0.9692,498473.5
ConvNN-193k,0.6512,1.7914054077148438,1.4808577299118042,1.7085753679275513,0.1572072058916092,0.18046696484088898,0.6564,0.9744,546527.9375
ConvNN-218k,0.6598,1.8991314697265624,1.5290782451629639,1.7941019535064697,0.12088016420602798,0.1399630457162857,0.6638,0.9884,614699.4375
ConvNN-244k,0.648,2.1251844482421873,1.6745144128799438,1.9990800619125366,0.09726815670728683,0.11529168486595154,0.6504,0.9932,687494.875
ConvNN-265k,0.6592,2.061800665283203,1.609366536140442,1.92487633228302,0.09326957166194916,0.11078862100839615,0.6616,0.9948,742658.8125
ConvNN-294k,0.6498,2.162942041015625,1.6607657670974731,2.0122153759002686,0.08214081823825836,0.09794051200151443,0.6566,0.9966,821252.625
ConvNN-316k,0.6548,2.299186004638672,1.7472985982894897,2.1271588802337646,0.06751756370067596,0.08079026639461517,0.6582,0.998,882544.6875
ConvNN-348k,0.664,2.191412072753906,1.6524572372436523,2.0263097286224365,0.061577439308166504,0.0735725462436676,0.6654,0.9992,968292.3125
ConvNN-381k,0.6772,2.2180922668457033,1.660832405090332,2.0425477027893066,0.04816920682787895,0.05711028352379799,0.6774,0.9998,1058866.75
ConvNN-407k,0.6696,2.158891192626953,1.606353998184204,1.9880554676055908,0.05233965814113617,0.06270571798086166,0.6714,0.9992,1127521.625
ConvNN-442k,0.661,2.2754110473632814,1.6808702945709229,2.0800893306732178,0.04851517453789711,0.05796993896365166,0.6626,0.9998,1224383.5
ConvNN-470k,0.6738,2.2189341369628908,1.631850004196167,2.0296919345855713,0.04949050769209862,0.059395890682935715,0.68,1.0,1298850.875
ConvNN-508k,0.674,2.1762128173828126,1.595705270767212,1.9891126155853271,0.04637318477034569,0.055493179708719254,0.6792,1.0,1402631.375
ConvNN-548k,0.6714,2.168242315673828,1.608439564704895,1.9882116317749023,0.04187316820025444,0.049591682851314545,0.6792,0.9998,1511504.75
ConvNN-579k,0.6822,2.080539630126953,1.5569965839385986,1.919150710105896,0.04152960330247879,0.04909230023622513,0.6858,1.0,1593260.25
ConvNN-621k,0.6812,2.0439191162109376,1.5275208950042725,1.8906097412109375,0.04042474925518036,0.04762325435876846,0.6844,1.0,1708073.75
ConvNN-654k,0.6786,2.1229649536132813,1.583505630493164,1.9562612771987915,0.0407094769179821,0.047790441662073135,0.682,0.9998,1796185.5
ConvNN-699k,0.6724,2.1392858642578125,1.6033211946487427,1.9749878644943237,0.039542507380247116,0.0461823008954525,0.6738,1.0,1918096.0
ConvNN-746k,0.688,1.9491891235351562,1.463519811630249,1.8107106685638428,0.0392460823059082,0.045717764645814896,0.6908,1.0,2045088.125
ConvNN-781k,0.6886,1.9340552185058595,1.4578263759613037,1.8057434558868408,0.0389859601855278,0.045184437185525894,0.693,0.9998,2140209.5
ConvNN-830k,0.6816,1.980030126953125,1.4919489622116089,1.8405413627624512,0.039598703384399414,0.046026017516851425,0.6854,0.9998,2273407.75
ConvNN-868k,0.695,1.878177294921875,1.417657732963562,1.750990629196167,0.03764966502785683,0.04359057918190956,0.6924,1.0,2375122.25
ConvNN-919k,0.6856,1.9301644104003906,1.4636534452438354,1.7962509393692017,0.036026619374752045,0.041395124047994614,0.6878,1.0,2515160.75
ConvNN-973k,0.6866,1.9145283874511718,1.4467977285385132,1.7795823812484741,0.03625764697790146,0.041574057191610336,0.6892,0.9998,2660674.0
ConvNN-1013k,0.691,1.8496512329101562,1.3997423648834229,1.7303329706192017,0.03697199746966362,0.04260729253292084,0.6918,1.0,2769360.25
ConvNN-1069k,0.6952,1.8524752502441406,1.4081108570098877,1.7326303720474243,0.0372341088950634,0.042729273438453674,0.7004,1.0,2920509.25
ConvNN-1112k,0.6912,1.7819334289550781,1.3661797046661377,1.6820873022079468,0.035932090133428574,0.041112352162599564,0.6948,0.9998,3035720.5
ConvNN-1170k,0.7004,1.7603875854492188,1.348193645477295,1.6620792150497437,0.03629085421562195,0.041488345712423325,0.7024,1.0,3194117.75
ConvNN-1231k,0.6942,1.8295850402832032,1.389854907989502,1.714336633682251,0.03624710440635681,0.041580963879823685,0.6958,1.0,3358145.0
ConvNN-1276k,0.6824,1.833303662109375,1.4008114337921143,1.7296571731567383,0.03516533225774765,0.040011707693338394,0.6886,0.9998,3480081.75
ConvNN-1339k,0.692,1.7971964416503907,1.3729193210601807,1.6877763271331787,0.035564277321100235,0.04063672944903374,0.6974,1.0,3649522.75
ConvNN-1386k,0.6988,1.768096209716797,1.3537274599075317,1.6656888723373413,0.034753743559122086,0.039594754576683044,0.7002,0.9996,3778267.5
ConvNN-1452k,0.7018,1.6952455505371093,1.3012986183166504,1.5988553762435913,0.034463632851839066,0.03907531872391701,0.7072,1.0,3954637.25
