model,parameters (M),subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,optimal lambda,expected cumulant
cifar10_mobilenetv2_x0_5,0.7,last_layer,kron,0.0099999997764825,0.8516,0.90946,1.829648,34.43755,1.8008624,34.099495,0.0415518310546875,34.00460661376953,-0.0948883203125,12810,-19.075595118301322,-0.0946139023793883,847.93408203125,0.0045218817,0.00835631797674806
cifar10_mobilenetv2_x0_75,1.37,last_layer,kron,0.0099999997764825,0.8708,0.9326,1.8358829,34.88473,1.8068614,34.595486,0.0238046875,34.49079272827149,-0.104692958984375,12810,-21.26755334163078,-0.10441873714795867,834.6953125,0.0045218817,0.008249376977206055
cifar10_mobilenetv2_x1_0,2.24,last_layer,kron,0.0099999997764825,0.8759,0.94178,1.8388661,34.828094,1.8087851,34.490887,0.02070310546875,34.38269591674805,-0.108190771484375,12810,-22.043795913301004,-0.10791661960560782,833.8695068359375,0.0045218817,0.008237182358490344
cifar10_mobilenetv2_x1_4,4.33,last_layer,kron,0.0099999997764825,0.8866,0.95008,1.8395953,34.519943,1.811881,34.25682,0.018561572265625,34.09526935058594,-0.161551328125,17930,-33.92745643847637,-0.16127824347871028,793.61279296875,0.0045218817,0.007862299223264202
cifar10_repvgg_a0,7.84,last_layer,kron,0.0099999997764825,0.8927,0.95634,0.6173709,2.1399992,0.4894021,1.681943,0.0111644653320312,1.5649514867019654,-0.116991572265625,12810,-25.79596862113961,-0.11671759640639384,7.084619522094727,0.0045218817,7.12780720826256e-05
cifar10_repvgg_a1,12.82,last_layer,kron,0.0099999997764825,0.8948,0.95926,0.6412792,2.3212085,0.52135766,1.8867642,0.0104514477539062,1.7690329285049438,-0.117731240234375,12810,-25.959666490052662,-0.11745727916879908,7.030172824859619,0.0045218817,7.073843740246222e-05
cifar10_repvgg_a2,26.82,last_layer,kron,0.0099999997764825,0.9017,0.96512,0.6678592,2.448158,0.5637076,2.0862439,0.0100782525634765,1.9553547077178957,-0.13088916015625,14090,-28.87033714490855,-0.1306154622543358,6.679924964904785,0.0045218817,6.721316613705897e-05
cifar10_resnet20,0.27,last_layer,kron,0.0099999997764825,0.8595,0.9269,0.46730217,0.60312754,0.22839583,0.29982397,0.0287051904296875,0.3180813072490692,0.0182573376464843,650,0.23252416721018362,0.01853401853801434,1.955124855041504,0.19233897,0.0261894410468555
cifar10_resnet32,0.47,last_layer,kron,0.0099999997764825,0.8876,0.96084,0.38676828,0.70520914,0.17080238,0.3116505,0.0214208349609375,0.3256630280303955,0.0140125134277343,650,0.24148036146345425,0.014289109421082009,2.6839828491210938,0.1381647,0.019074952053667722
cifar10_resnet44,0.66,last_layer,kron,0.0099999997764825,0.8987,0.97134,0.3909194,0.90226716,0.20573917,0.47281846,0.0175503942871093,0.4833552828884124,0.0105368188476562,650,0.2508765667925346,0.010813345325721998,3.655245065689087,0.09870422,0.013949230230927869
cifar10_resnet56,0.86,last_layer,kron,0.0099999997764825,0.8924,0.95856,0.48091772,1.2937428,0.32496217,0.8650189,0.0145481860351562,0.872851662387848,0.0078327581787109,650,0.26089500837990387,0.008109230574481676,4.963422775268555,0.06853478,0.009771150532649216
cifar10_shufflenetv2_x0_5,0.35,last_layer,kron,0.0099999997764825,0.818,0.87934,0.5803682,0.7592277,0.36078367,0.47540835,0.09301220703125,0.4282195075702667,-0.047188837890625,10250,-10.369678430029882,-0.046913465948784684,2.277523994445801,0.0045218817,2.3006864319052855e-05
cifar10_shufflenetv2_x1_0,1.26,last_layer,kron,0.0099999997764825,0.8671,0.93528,0.4576764,0.94252086,0.27279678,0.554244,0.0231753588867187,0.4737655638694763,-0.08047841796875,10250,-17.729445172430438,-0.08020371183182734,3.2994918823242188,0.0045218817,3.3258229272331574e-05
cifar10_shufflenetv2_x1_5,2.49,last_layer,kron,0.0099999997764825,0.8836,0.95586,0.46597123,1.1199074,0.28956866,0.6862192,0.0177906652832031,0.6006373110961915,-0.085581904296875,10250,-18.85715000034807,-0.08530730023172034,3.719627857208252,0.0045218817,3.74988094978268e-05
cifar10_shufflenetv2_x2_0,5.37,last_layer,kron,0.0099999997764825,0.8843,0.95896,0.4706099,1.2057614,0.30396745,0.76274437,0.0140654174804687,0.5714714179039002,-0.19127294921875,20490,-42.22988760865337,-0.19100045901677104,4.158393859863281,0.0045218817,4.190322195679608e-05
cifar10_vgg11_bn,9.76,last_layer,kron,0.0099999997764825,0.5885,0.66966,2.1813643,189.74734,2.1728659,191.96228,0.0114575659179687,191.922610625,-0.0396696484375,5130,33.00214271551553,-0.0393941261088629,22021.0,0.0045218817,0.1886259111775458
cifar10_vgg13_bn,9.94,last_layer,kron,0.0099999997764825,0.6113,0.6563,2.1816845,189.38806,2.1747677,190.76872,0.0097896484375,190.7264721875,-0.0422503466796875,5130,30.821961358880316,-0.041974875966047535,20651.859375,0.0045218817,0.18134813886455706
cifar10_vgg16_bn,15.25,last_layer,kron,0.0099999997764825,0.5564,0.60548,2.1909518,195.88591,2.1839669,195.91147,0.0077855456542968,195.86803580566405,-0.0434327001953125,5130,31.825708848807636,-0.0431572531292158,20950.4453125,0.0045218817,0.18706934342966974
cifar10_vgg19_bn,20.57,last_layer,kron,0.0099999997764825,0.5668,0.60308,2.193624,196.64317,2.1844068,196.90814,0.0074407568359375,196.86504123535155,-0.0431008544921875,5130,32.328594796995986,-0.04282540078904399,21256.888671875,0.0045218817,0.18901148185370437
