model,parameters (M),subset,hessian,prior precision,bma test acc. (%),bma train acc. (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace
cifar10_mobilenetv2_x0_5,0.82,last_layer,kron,2.9809165000915527,86.04,91.87,0.4481792,0.659984,0.24900487,0.36450624,0.0134876416015625
cifar10_mobilenetv2_x0_75,1.48,last_layer,kron,2.4400699138641357,87.68,94.018,0.3894912,0.626372,0.19776124,0.3103441,0.0065452294921875
cifar10_mobilenetv2_x1_0,2.35,last_layer,kron,2.353572130203247,88.2,94.776,0.37893736,0.6201688,0.17845851,0.28437147,0.005696302490234375
cifar10_mobilenetv2_x1_4,4.5,last_layer,kron,2.3957347869873047,89.45,95.58,0.34741732,0.5617701,0.15523343,0.24433903,0.005308845825195313
cifar10_repvgg_a0,7.96,last_layer,kron,2.7621192932128906,89.19,95.684,0.3873661,0.50182414,0.14241879,0.18085977,0.0030531744384765624
cifar10_repvgg_a1,12.94,last_layer,kron,2.8312506675720215,89.57,95.928,0.36791712,0.47889125,0.13699165,0.17462943,0.002936495361328125
cifar10_repvgg_a2,26.94,last_layer,kron,2.96171236038208,90.25,96.518,0.34289566,0.43921152,0.11882248,0.1454301,0.0029300680541992185
cifar10_resnet20,0.28,last_layer,kron,2.2826874256134033,85.88,92.688,0.5038891,0.5319085,0.23006147,0.24338819,0.011691331787109375
cifar10_resnet32,0.47,last_layer,kron,2.8384897708892822,88.74,96.08,0.4251705,0.48117214,0.12420925,0.14118868,0.006032877197265625
cifar10_resnet44,0.67,last_layer,kron,2.7952768802642822,89.87,97.13,0.37975788,0.45395437,0.0925406,0.11157197,0.004545524291992188
cifar10_resnet56,0.86,last_layer,kron,2.65529203414917,89.25,95.894,0.38495997,0.4832679,0.13276888,0.16482824,0.003572796630859375
cifar10_shufflenetv2_x0_5,0.44,last_layer,kron,3.796424150466919,81.78,87.92,0.6377268,0.65388244,0.37239945,0.38236338,0.04289158203125
cifar10_shufflenetv2_x1_0,1.36,last_layer,kron,2.3017053604125977,86.83,93.53,0.49642846,0.55140376,0.20583667,0.22872365,0.006330791625976563
cifar10_shufflenetv2_x1_5,2.58,last_layer,kron,2.1841444969177246,88.37,95.566,0.42658544,0.49111548,0.14140846,0.16280252,0.004812751770019531
cifar10_shufflenetv2_x2_0,5.55,last_layer,kron,2.211216449737549,88.5,95.908,0.40813386,0.48458368,0.12904,0.15253833,0.004081454467773437
cifar10_vgg11_bn,9.8,last_layer,kron,4.255395412445068,89.64,98.656,0.7275102,3.1019773,0.563095,2.5181186,0.0036513522338867187
cifar10_vgg13_bn,9.99,last_layer,kron,4.434414863586426,91.69,99.044,0.6971265,2.9532304,0.56070024,2.4506211,0.0032509237670898436
cifar10_vgg16_bn,15.3,last_layer,kron,4.331413745880127,91.93,99.04,0.7756238,3.4968112,0.6496992,2.9853008,0.0025637677001953125
cifar10_vgg19_bn,20.61,last_layer,kron,4.200628757476807,91.36,99.03,0.8002552,3.6756787,0.6708657,3.1513245,0.002456455841064453
